x,y,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
59.7,0,3.74,11.68,14.29
59.8,0,13.66,14.22,15.89
59.9,0,18.65,14.79,15.68
60,0,27.06,15.54,14.99
60.1,0,26.69,16.14,16.1
60.2,0,14.72,15.88,18.57
60.3,0,15.17,18.52,21.63
60.4,0,24.66,18.69,20.14
60.5,0,26.19,18.74,19.6
60.6,0,23.94,19.74,21.44
60.7,0,28.9,24.39,27.25
60.8,0,32.2,25.98,29.12
60.9,0,29.68,25.32,28.56
61,0,36.44,27.84,31.68
61.1,0,48.02,32.25,35.87
61.2,0,54.74,35.17,38.59
61.3,0,51.7,35.69,39.24
61.4,0,49.83,39.79,46.42
61.5,0,44.77,45.81,57.24
61.6,0,49.07,51.55,64.47
61.7,0,57.14,53.4,65.5
61.8,0,61.76,56.71,68.87
61.9,0,57.88,59.84,75.19
62,0,56.38,60.11,76.07
62.1,0,64.46,63.15,78.32
62.2,0,71.89,64.94,78.89
62.3,0,71.11,64.34,78.22
62.4,0,65.88,62.58,76.46
62.5,0,62.23,61.68,76.26
62.6,0,60.84,61.33,75.86
62.7,0,61.03,61.7,76.21
62.8,0,60.73,62.85,77.87
62.9,0,59.75,61.53,76.39
63,0,59.86,61.79,76.85
