x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1
39.3,0,5.85,11.95,15.16
39.4,0,1.39,11.2,15.2
39.5,0,-3.47,9.63,14.34
39.6,0,2.27,10.92,15
39.7,0,14.27,13.97,16.32
39.8,0,10.89,13.28,15.75
39.9,0,2.38,11.21,14.94
40,0,4.29,11.96,15.6
40.1,0,0.28,10.75,15.2
40.2,0,8,12.26,15.56
40.3,0,15.76,14.04,15.95
40.4,0,4.86,11.46,14.72
40.5,0,-1.19,10.95,15.09
40.6,0,4.7,12.27,15.75
40.7,0,4.94,12.21,16.35
40.8,0,11.61,13.67,16.45
40.9,0,9.17,12.68,15.43
41,0,-4.31,10.46,14.95
41.1,0,0.55,12.23,16.76
41.2,0,3.83,12.18,16.17
41.3,0,7.86,12.5,15.99
41.4,0,14.23,13.75,16.18
41.5,0,8.12,13.15,16.69
41.6,0,5.46,13.02,16.88
41.7,0,11,14.47,17.99
41.8,0,12.52,14.61,18.39
41.9,0,15.61,15.16,18.22
42,0,13.81,14.5,17.48
42.1,0,10.22,13.93,17.08
42.2,0,10.27,14.1,17.96
42.3,0,10.26,13.86,17.58
42.4,0,12.18,13.96,17.43
42.5,0,13.94,14.97,17.8
42.6,0,11.79,14.42,18.16
42.7,0,9.34,13.76,18.27
42.8,0,9.88,13.53,17.66
42.9,0,10.44,14.21,19
43,0,11.52,13.98,18.11
43.1,0,13.56,14.29,17.96
43.2,0,12.96,14.61,18.93
43.3,0,9.42,13.46,18.11
43.4,0,8.78,13.38,17.83
43.5,0,9.22,13.52,17.97
43.6,0,10.15,13.85,18.5
43.7,0,12.43,14.52,18.86
43.8,0,11.76,14.6,19.25
43.9,0,8.21,13.98,19.16
44,0,9.16,14.95,20.56
44.1,0,8.92,14.29,19.22
44.2,0,9.73,14.26,19.13
44.3,0,11.67,14.89,19.94
44.4,0,12.51,15.11,19.31
44.5,0,11.23,15.06,20.06
44.6,0,10.78,15.06,20.29
44.7,0,10.83,14.94,20.22
44.8,0,11.58,16.01,21.59
44.9,0,12.58,15.83,20.63
45,0,13.57,16.28,21.04
45.1,0,11.26,16.03,21.57
45.2,0,10.28,16.19,21.89
45.3,0,8.76,15.29,21.16
45.4,0,9.8,15.38,21.21
45.5,0,12.24,16.36,21.78
45.6,0,13.39,17.38,22.61
45.7,0,12,17.7,23.64
45.8,0,12.88,17.93,23.47
45.9,0,12.65,17.7,22.91
46,0,13.67,18.17,23.88
46.1,0,15.88,19.63,25.31
46.2,0,14.01,19.42,25.09
46.3,0,11.99,19.11,25.23
46.4,0,13.02,19.55,25.32
46.5,0,14.24,20.36,26.29
46.6,0,15.97,21.27,27.8
46.7,0,17.46,22.19,28.13
46.8,0,16.91,22.4,28.01
46.9,0,18.13,23.29,29.32
47,0,18.72,23.84,29.88
47.1,0,20.15,24.72,30.87
47.2,0,20.95,25.74,32.11
47.3,0,21.44,26.5,33.18
47.4,0,19.9,26.89,33.95
47.5,0,18.56,27.74,35.86
47.6,0,18.04,28.02,36.36
47.7,0,22.21,28.97,36.39
47.8,0,22.62,30.72,39.22
47.9,0,23.63,31.13,39.36
48,0,22.12,29.85,37.78
48.1,0,22.1,28.58,35.77
48.2,0,23.61,28.27,34.46
48.3,0,24.24,26.38,31.26
48.4,0,25.86,29.12,34.56
48.5,0,26.52,29.49,34.34
48.6,0,27.43,30.8,36.77
48.7,0,27.55,32.37,39.16
48.8,0,28.22,32.75,40.05
48.9,0,29.15,33.64,41.03
49,0,29.29,34,41.27
49.1,0,29.43,34.21,41.9
49.2,0,29.62,34.69,42.32
49.3,0,29.54,34.85,42.51
49.4,0,28.74,33.06,39.78
49.5,0,27.39,30.58,36.13
49.6,0,26.15,28.14,32.93
49.7,0,24.62,26.34,30.62
49.8,0,23.24,24.64,28.28
49.9,0,23.25,24.95,28.71
50,0,23,24.71,28.31
50.1,0,22.66,24.25,27.72
50.2,0,22.9,24.75,28.78
50.3,0,22.79,24.59,28.36
50.4,0,23.37,25.66,29.62
50.5,0,23.17,25.12,29.49
50.6,0,22.79,24.64,28.44
50.7,0,23.14,25.1,29.11
50.8,0,23.72,25.97,29.74
50.9,0,23.39,25.58,29.59
51,0,23.21,25.24,29.3
51.1,0,23.7,26.15,30.16
51.2,0,23.77,26.3,30.49
51.3,0,23.25,25.34,29.19
51.4,0,22.66,24.3,27.96
51.5,0,23.14,24.61,28.44
51.6,0,22.42,23.45,26.75
51.7,0,22.26,23.41,27.02
51.8,0,22.47,23.83,27.61
