x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,25.51,2.54,12.63,3.09,10.17,3.23,757.93,0.24,0,14.5,
0,0,38.56,3.04,16.56,3.81,13.55,4.28,1364.79,0.23,0,19.1,
0,0,19.6,2.05,11.59,2.42,9.92,2.43,346.87,0.47,0.1,10.9,
0,0,1.68,0.81,8.02,0.92,8.6,0.72,-1,-1,-1,-1,
0,0,8.59,0.48,9.24,0.57,9.19,0.33,5.32,8.9,0.4,3.9,
0,0,2.99,-0.26,8.03,-0.35,9.12,-0.63,0.32,39.42,4.8,35.6,
0,0,-3.43,-0.66,6.27,-0.84,8.06,-1.22,-1,-1,-1,-1,
0,0,0.74,-0.16,8.3,-0.18,10.68,-0.23,-1,-1,-1,-1,
0,0,-15.44,-1.25,3.61,-1.5,8.14,-1.74,-1,-1,-1,-1,
0,0,-21.79,-1.38,1.47,-1.75,6.21,-2.33,-1,-1,-1,-1,
0,0,-16.67,-1.12,2.24,-1.35,6.65,-1.83,-1,-1,-1,-1,
0,0,-5.99,-0.59,4.32,-0.66,7.49,-1.09,-1,-1,-1,-1,
0,0,-7.93,-0.63,3.69,-0.82,6.97,-1.3,-1,-1,-1,-1,
0,0,-9.85,-0.53,3.84,-0.71,6.93,-1.23,-1,-1,-1,-1,
0,0,-3.7,0.52,4.55,0.49,7.14,0,-1,-1,-1,-1,
0,0,-10.61,0.16,3.7,0.05,7.22,-0.43,-1,-1,-1,-1,
0,0,-16.06,-0.11,2.42,-0.25,6.89,-0.58,-1,-1,-1,-1,
0,0,-19.32,-0.2,1.8,-0.33,6.14,-0.3,-1,-1,-1,-1,
0,0,-25.58,-0.58,0.77,-0.76,5.92,-1.02,-1,-1,-1,-1,
0,0,-46.84,-1.84,-3.92,-2.32,4.42,-2.8,-1,-1,-1,-1,
0,0,-62.59,-3.15,-6.73,-3.81,3.64,-4.55,-1,-1,-1,-1,
0,0,-35.75,-1.57,-2.26,-1.86,4.67,-2.45,-1,-1,-1,-1,
0,0,-30.99,-0.85,-1.91,-1.03,4.93,-1.51,-1,-1,-1,-1,
0,0,-25.86,-0.36,-1.21,-0.55,5.27,-1.09,-1,-1,-1,-1,
0,0,-22.69,-0.11,-0.26,-0.25,5.67,-0.74,-1,-1,-1,-1,
0,0,-19.37,-0.08,0.91,-0.17,5.99,-0.57,-1,-1,-1,-1,
0,0,-22.46,-0.72,0.69,-0.92,5.76,-1.31,-1,-1,-1,-1,
0,0,-20.61,-0.7,1.1,-0.88,5.97,-1.18,-1,-1,-1,-1,
0,0,-2.89,0.64,4.47,0.78,7.32,0.67,-1,-1,-1,-1,
0,0,-9.55,0.12,3.36,0.12,6.88,-0.13,-1,-1,-1,-1,
0,0,-7.62,0.37,3.55,0.37,7.08,0.18,-1,-1,-1,-1,
0,0,-6.35,0.47,4.41,0.48,7.23,0.44,-1,-1,-1,-1,
0,0,-9.35,0.34,3.6,0.34,7.23,0.15,-1,-1,-1,-1,
0,0,-17.87,-0.21,2.12,-0.34,6.61,-0.7,-1,-1,-1,-1,
0,0,-21.69,-0.91,1.44,-1.11,6.14,-1.38,-1,-1,-1,-1,
0,0,-35.65,-2.12,-1.53,-2.64,5.38,-2.93,-1,-1,-1,-1,
0,0,-35.45,-1.57,-2.22,-2.08,4.65,-2.41,-1,-1,-1,-1,
0,0,-26.34,-0.69,0.03,-1.01,5.26,-1.27,-1,-1,-1,-1,
0,0,-25.03,-0.51,0.2,-0.84,6.06,-1.17,-1,-1,-1,-1,
0,0,-37.02,-1.33,-2.75,-1.79,4.56,-2.2,-1,-1,-1,-1,
0,0,-55.04,-2.42,-6.32,-3.07,3.07,-3.7,-1,-1,-1,-1,
0,0,-41.31,-1.72,-3.62,-2.11,3.97,-2.64,-1,-1,-1,-1,
0,0,-35.25,-1.42,-2.87,-1.78,4.34,-2.13,-1,-1,-1,-1,
0,0,-36.98,-1.28,-3.2,-1.68,4.2,-2.2,-1,-1,-1,-1,
