x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
29.8,0,5.08,9.8,12.51,9.1,7.21,7.86
29.9,0,5.5,9.62,12.75,-12.33,2.58,5.86
30,0,6.38,9.52,12.04,-16,3.5,8.34
30.1,0,10.87,10.79,12.39,-28.69,-0.84,4.49
30.2,0,9.41,11,13.12,-57.9,-6.73,2.54
30.3,0,5,10.03,12.99,-48.51,-5.83,3.02
30.4,0,6.74,10.65,13.62,-42.15,-4.05,3.61
30.5,0,6.81,10.36,13.2,-39.68,-3.7,4.04
30.6,0,11.08,11.41,13.49,-53.12,-6.51,2.53
30.7,0,11.24,11.54,13.75,-61.63,-8.48,1.73
30.8,0,8.91,11.09,13.51,-84.03,-11.97,0.76
30.9,0,10.19,11.41,13.76,-86.37,-12.7,0.53
31,0,9.94,11.66,14.32,-46.21,-5.11,3.61
31.1,0,9.29,11.3,13.78,-31.52,-2.78,4.13
31.2,0,10.02,11.15,13.38,-39.5,-4.41,3.48
31.3,0,8.55,11.47,14.31,-63.3,-8.97,1.88
31.4,0,7.38,11.11,13.81,-71.42,-9.62,1.78
31.5,0,7.29,11.04,13.81,-75.68,-10.33,1.65
31.6,0,7.7,11.34,13.79,-49.65,-5.11,3.96
31.7,0,10.42,11.58,13.85,-24.72,0.4,6.47
31.8,0,10.19,11.8,14.1,-24.22,-0.41,5.56
31.9,0,8.93,11.44,13.91,-36.98,-3.2,4.2
32,0,7.31,11.18,14.25,-35.25,-2.87,4.34
32.1,0,9.43,11.87,14.51,-41.31,-3.62,3.97
32.2,0,10.37,11.68,13.99,-55.04,-6.32,3.07
32.3,0,8.57,11.41,13.99,-37.02,-2.75,4.56
32.4,0,4.77,9.7,11.02,-25.03,0.2,6.06
32.5,0,7.3,11.18,13.65,-26.34,0.03,5.26
32.6,0,6.98,10.9,13.8,-35.45,-2.22,4.65
32.7,0,8.66,11.19,14.09,-35.65,-1.53,5.38
32.8,0,7.6,10.73,13.72,-21.69,1.44,6.14
32.9,0,5.29,10.45,13.41,-17.87,2.12,6.61
33,0,6.27,10.63,13.12,-9.35,3.6,7.23
33.1,0,7.07,10.72,13.25,-6.35,4.41,7.23
33.2,0,9.78,11.5,14.16,-7.62,3.55,7.08
33.3,0,7.08,10.51,13.06,-9.55,3.36,6.88
33.4,0,6.23,11.01,13.85,-2.89,4.47,7.32
33.5,0,7.41,11.04,13.75,-20.61,1.1,5.97
33.6,0,8.44,11.21,13.79,-22.46,0.69,5.76
33.7,0,11.65,11.97,14.17,-19.37,0.91,5.99
33.8,0,5.83,10.74,13.84,-22.69,-0.26,5.67
33.9,0,1.68,9.66,13,-25.86,-1.21,5.27
34,0,5.12,10.3,13.31,-30.99,-1.91,4.93
34.1,0,5.97,10.64,13.65,-35.75,-2.26,4.67
34.2,0,10.64,11.93,14.29,-62.59,-6.73,3.64
34.3,0,5.46,10.6,14.28,-46.84,-3.92,4.42
34.4,0,-6.2,7.95,13.04,-25.58,0.77,5.92
34.5,0,-1.93,9.24,13.65,-19.32,1.8,6.14
34.6,0,2.79,10.15,13.8,-16.06,2.42,6.89
34.7,0,9.94,11.48,14,-10.61,3.7,7.22
34.8,0,13.55,12.71,14.97,-3.7,4.55,7.14
34.9,0,-4.31,8.08,12.94,-9.85,3.84,6.93
35,0,-13.06,6.24,11.94,-7.93,3.69,6.97
35.1,0,-5.83,7.5,12.16,-5.99,4.32,7.49
35.2,0,0.56,8.92,13.21,-16.67,2.24,6.65
35.3,0,6.07,10.15,13.69,-21.79,1.47,6.21
35.4,0,5.55,10.2,13.72,-15.44,3.61,8.14
35.5,0,-3.99,8.48,12.97,0.74,8.3,10.68
35.6,0,-4.33,7.8,12.16,-3.43,6.27,8.06
35.7,0,2.34,9.38,12.65,2.99,8.03,9.12
35.8,0,9.25,11.32,14.19,8.59,9.24,9.19
35.9,0,9.79,11.64,14.14,1.68,8.02,8.6
