x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,7.83,1.56,9.56,2.29,10.6,3.3,1.95,11.09,0.9,4.5,
0,0,6.06,1.22,9.21,1.94,11,3.03,0.83,16.29,2.1,4.9,
0,0,5.29,1.22,8.53,1.92,10.36,2.76,0.52,17.94,2.6,7.6,
0,0,5.31,1.63,8.66,2.44,10.46,3.34,0.53,18.12,2.6,7.5,
0,0,7.3,1.76,9.1,2.5,10.39,3.61,1.91,10.87,0.9,3.8,
0,0,7.75,1.82,9.47,2.54,10.73,3.7,1.98,11.22,0.9,3.6,
0,0,7.49,1.7,9.36,2.44,10.65,3.52,1.96,11.14,0.9,3.5,
0,0,5.79,1.15,9.18,1.78,10.83,3,0.82,13.5,1.4,11.1,
0,0,5.84,1.07,9.33,1.79,11.2,2.99,0.56,19.4,2.6,8.1,
0,0,4.98,1.24,7.55,1.89,8.39,2.65,0.59,10.01,1.4,9,
0,0,6.68,1.36,9.2,1.97,10.41,2.91,1.13,11.85,1.1,5.7,
0,0,8.3,1.57,9.28,2.26,10.91,3.52,3.74,10.41,0.6,4.6,
0,0,9.64,1.79,9.67,2.54,10.93,3.83,8.32,10.88,3,3.2,
0,0,9.31,1.59,9.84,2.37,11.07,3.49,3.8,10.56,0.6,3.4,
0,0,7.24,1.21,9.42,1.94,10.82,3,1.18,12.31,1.1,7.3,
0,0,7.32,1.28,9.08,2.16,10.43,3.6,1.92,10.91,0.9,4,
0,0,7.21,1.35,9.08,2.23,10.66,4.05,1.96,11.15,0.9,5.8,
0,0,8.62,1.58,9.47,2.24,11.33,3.12,6.26,12.89,2.7,7.4,
0,0,10.48,1.9,9.68,2.66,10.97,3.74,16.61,8.9,0.2,6.4,
0,0,9.44,1.66,9.96,2.43,11.78,3.67,4.04,11.24,0.6,3.2,
0,0,2.53,0.84,7.86,1.46,10.47,2.62,0.26,39.68,6,31.1,
0,0,0.03,0.65,7.37,1.22,10.43,2.39,-1,-1,-1,-1,
0,0,0.5,0.95,7.46,1.5,10.37,2.54,-1,-1,-1,-1,
0,0,2.41,1.47,7.9,2.12,10.72,3.2,0.27,43.32,6.3,35,
0,0,7.05,1.97,8.62,2.73,10.54,4.03,2.29,15.61,2.5,3.6,
0,0,9.64,1.91,9.64,2.73,11.26,4.02,8.57,11.21,3,5.1,
0,0,6.71,1.27,9.45,2.06,11.54,3.12,0.87,17.09,2.1,4.2,
0,0,6.04,1.05,9.15,1.8,10.91,2.87,0.82,16.16,2.1,4.9,
0,0,7.08,1.24,9.59,1.98,11.58,2.98,2.52,17.15,2.5,2.6,
0,0,5.77,1.45,8.84,2.24,11.46,3.63,0.58,19.85,2.6,6.4,
0,0,9.44,1.85,9.83,2.7,11.61,3.79,3.98,11.07,0.6,3.7,
0,0,11.39,1.91,10.42,2.73,12.05,3.82,9.17,12,3,4.9,
0,0,9.15,1.54,10.35,2.31,12.08,3.62,4.14,11.52,0.6,4,
0,0,8.39,1.41,9.83,2.28,11.38,3.65,2.09,11.9,0.9,4.6,
0,0,8.73,1.47,10.3,2.28,11.95,3.57,2.2,12.5,0.9,4.1,
0,0,8.05,1.55,9.97,2.2,12.04,3.25,2.62,17.83,2.5,3.2,
0,0,10.96,1.86,10.91,2.66,12.28,3.78,9.35,12.23,3,2.3,
0,0,12.26,1.88,11.44,2.66,13.06,3.87,9.94,13,3,4.8,
0,0,9.58,1.54,10.77,2.25,12.28,3.55,4.21,11.71,0.6,2.3,
0,0,8.22,1.34,10.66,2.19,12.62,3.4,1.37,14.36,1.1,7.1,
0,0,8.18,1.45,10.49,2.28,12.56,3.63,2.73,18.6,2.5,2.9,
0,0,6.5,1.58,9.48,2.31,11.62,3.75,0.88,17.21,2.1,3.2,
0,0,10.27,1.97,10.47,2.86,11.69,4.11,8.9,11.64,3,2.8,
