    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   36   41         4    9       -0.51012          739.11098      720.27209         0.19758E+02    0.19758E+02    0
   37   42         4    9       -0.37750          682.43187      667.89912         0.17537E+02    0.17537E+02    0
   38   43         4    9       -0.29204          634.69297      622.84877         0.15503E+02    0.15503E+02    0
   39   44         4    9       -0.14790          588.66714      582.29139         0.13581E+02    0.13581E+02    0
   40   45         4    9       -0.05634          555.39119      552.79287         0.12013E+02    0.12013E+02    0
   41   46         4    9        0.07935          522.44940      526.38575         0.10572E+02    0.10572E+02    0
   42   47         4    9        0.19379          487.33543      497.69165         0.92156E+01    0.92156E+01    0
   43   48         4    9        0.24569          466.76574      480.91715         0.82260E+01    0.82260E+01    0
   44   49         4    9        0.24471          448.77433      463.92292         0.73711E+01    0.73711E+01    0
   45   50         4    9        0.24859          429.03118      445.56808         0.65730E+01    0.65730E+01    0
   46   51         4    9        0.32437          407.56570      430.88636         0.58295E+01    0.58295E+01    0
   47   52         4    9        0.40138          392.34520      423.56925         0.52416E+01    0.52416E+01    0
   49   54         4    9        0.44662          356.18323      396.48843         0.41662E+01    0.41662E+01    0
   50   55         4    9        0.42235          348.54017      389.29353         0.38194E+01    0.38194E+01    0
   52   57         4    9        0.45440          318.85009      369.54819         0.30794E+01    0.30794E+01    0
   54   59         4    9        0.44449          294.78181      351.63830         0.25202E+01    0.25202E+01    0
   11   16         5   10        4.24087          791.99155      936.79622         0.33333E+02    0.25256E+02    1
   12   17         5   10       -0.49609         1114.23750     1097.77723         0.33333E+02    0.33333E+02    0
   13   18         5   10       -1.69999         1295.43010     1211.57902         0.33332E+02    0.25404E+02    1
   14   19         5   10       -1.90932         1411.76945     1305.78289         0.33331E+02    0.24466E+02    1
   15   20         5   10       -1.61461         1458.78971     1374.15929         0.33329E+02    0.27016E+02    1
   16   21         5   10       -1.50919         1522.86281     1445.64009         0.33325E+02    0.29001E+02    1
   17   22         5   10       -0.97726         1508.90365     1465.28930         0.33319E+02    0.33319E+02    0
   18   23         5   10       -0.59962         1500.82697     1474.05004         0.33308E+02    0.33308E+02    0
   19   24         5   10       -0.39686         1478.53965     1461.01852         0.33290E+02    0.33290E+02    0
   20   25         5   10       -0.03688         1406.61132     1405.05235         0.33259E+02    0.33259E+02    0
   21   26         5   10        0.24853         1320.95384     1330.87783         0.33205E+02    0.33205E+02    0
   22   27         5   10        0.10334         1287.06093     1291.08105         0.33135E+02    0.33135E+02    0
   23   28         5   10       -0.25007         1285.82508     1276.13243         0.33049E+02    0.33049E+02    0
   24   29         5   10       -0.74186         1280.12542     1250.20187         0.32932E+02    0.31364E+02    1
   25   30         5   10       -0.79605         1232.27735     1199.98973         0.32740E+02    0.29982E+02    1
   26   31         5   10       -0.88934         1194.50933     1158.03060         0.32487E+02    0.28675E+02    1
   27   32         5   10       -0.88080         1143.77027     1108.80373         0.32121E+02    0.28369E+02    1
   28   33         5   10       -0.88678         1086.88804     1053.37925         0.31606E+02    0.28318E+02    1
   29   34         5   10       -0.94502         1028.34458      994.55161         0.30906E+02    0.28282E+02    1
   30   35         5   10       -0.98023          974.24023      941.56694         0.30007E+02    0.28735E+02    1
   31   36         5   10       -0.88818          918.73139      890.87777         0.28850E+02    0.28850E+02    0
   32   37         5   10       -0.89510          897.68989      869.19985         0.27754E+02    0.27754E+02    0
   33   38         5   10       -0.72783          866.79414      843.23052         0.26408E+02    0.26408E+02    0
   34   39         5   10       -0.61616          849.32372      828.71366         0.25082E+02    0.25082E+02    0
   35   40         5   10       -0.55129          828.18626      809.08041         0.23620E+02    0.23620E+02    0
   36   41         5   10       -0.69447          801.31156      776.42026         0.22008E+02    0.22008E+02    0
   37   42         5   10       -0.55868          740.36754      719.74801         0.19779E+02    0.19779E+02    0
   38   43         5   10       -0.47280          689.16964      670.96563         0.17662E+02    0.17662E+02    0
   39   44         5   10       -0.31737          639.76157      626.87774         0.15600E+02    0.15600E+02    0
   40   45         5   10       -0.18848          602.89252      594.74525         0.13853E+02    0.13853E+02    0
   41   46         5   10       -0.10115          570.64362      565.96973         0.12299E+02    0.12299E+02    0
   42   47         5   10        0.07209          531.16745      534.74789         0.10730E+02    0.10730E+02    0
   43   48         5   10        0.13583          509.13601      516.39529         0.95944E+01    0.95944E+01    0
   44   49         5   10        0.16028          488.54824      497.75519         0.85849E+01    0.85849E+01    0
   45   50         5   10        0.19549          465.62712      477.70555         0.76336E+01    0.76336E+01    0
   47   52         5   10        0.34930          428.27009      453.44171         0.61159E+01    0.61159E+01    0
   49   54         5   10        0.42368          388.27121      423.73444         0.48474E+01    0.48474E+01    0
   50   55         5   10        0.42922          377.09318      415.67121         0.44066E+01    0.44066E+01    0
   52   57         5   10        0.43915          348.38905      393.85218         0.35803E+01    0.35803E+01    0
   54   59         5   10        0.44322          321.30221      374.02738         0.29170E+01    0.29170E+01    0
   82   87         5   10        0.33705          195.35125      409.16475         0.45590E+00    0.45590E+00    0
   12   17         6   11        3.83206          867.42064      995.71930         0.33333E+02    0.27780E+02    1
   13   18         6   11       -0.89182         1201.44561     1168.66216         0.33333E+02    0.32236E+02    1
   14   19         6   11       -1.96567         1409.44743     1301.77438         0.33333E+02    0.24735E+02    1
   15   20         6   11       -1.92319         1505.61306     1396.74202         0.33331E+02    0.25623E+02    1
   16   21         6   11       -1.92822         1603.63670     1491.62667         0.33330E+02    0.26630E+02    1
   17   22         6   11       -1.46052         1602.34121     1528.35511         0.33326E+02    0.30895E+02    1
   18   23         6   11       -1.05006         1600.61376     1550.95810         0.33320E+02    0.33320E+02    0
   19   24         6   11       -0.71876         1581.22531     1547.47149         0.33310E+02    0.33310E+02    0
   20   25         6   11       -0.12015         1499.87000     1494.46659         0.33292E+02    0.33292E+02    0
   21   26         6   11        0.34796         1404.72074     1419.49447         0.33259E+02    0.33259E+02    0
   22   27         6   11        0.39390         1364.30794     1380.58440         0.33213E+02    0.33213E+02    0
   23   28         6   11        0.11619         1363.65296     1368.44001         0.33157E+02    0.33157E+02    0
   24   29         6   11       -0.25001         1354.53953     1344.33976         0.33077E+02    0.33077E+02    0
   25   30         6   11       -0.39450         1308.99666     1293.41718         0.32949E+02    0.32949E+02    0
   26   31         6   11       -0.48890         1269.78468     1250.98350         0.32774E+02    0.32774E+02    0
   27   32         6   11       -0.47525         1218.00789     1200.33615         0.32518E+02    0.32518E+02    0
   28   33         6   11       -0.41051         1157.09913     1142.41736         0.32147E+02    0.32147E+02    0
   29   34         6   11       -0.42044         1094.77423     1080.31800         0.31629E+02    0.31629E+02    0
   30   35         6   11       -0.45920         1039.38465     1024.07849         0.30952E+02    0.30952E+02    0
   31   36         6   11       -0.40829          982.98938      969.72742         0.30058E+02    0.30058E+02    0
   32   37         6   11       -0.36156          958.39454      946.57957         0.29148E+02    0.29148E+02    0
   33   38         6   11       -0.22731          926.19450      918.71001         0.28015E+02    0.28015E+02    0
   34   39         6   11       -0.13151          907.73727      903.30257         0.26852E+02    0.26852E+02    0
   35   40         6   11       -0.06347          884.54799      882.35071         0.25518E+02    0.25518E+02    0
   36   41         6   11       -0.10612          850.80458      847.04059         0.23935E+02    0.23935E+02    0
   37   42         6   11        0.03279          783.98898      785.17258         0.21735E+02    0.21735E+02    0
   38   43         6   11       -0.00634          732.10727      731.87100         0.19636E+02    0.19636E+02    0
   39   44         6   11        0.09076          679.96246      683.50005         0.17491E+02    0.17491E+02    0
   40   45         6   11        0.14786          642.09329      648.19061         0.15644E+02    0.15644E+02    0
   41   46         6   11        0.26208          605.03075      616.55180         0.13894E+02    0.13894E+02    0
   42   47         6   11        0.34521          566.01429      582.24196         0.12213E+02    0.12213E+02    0
   43   48         6   11        0.34485          544.60815      561.99592         0.10973E+02    0.10973E+02    0
   44   49         6   11        0.44874          516.96828      541.37030         0.97295E+01    0.97295E+01    0
   45   50         6   11        0.49125          490.47833      519.25429         0.86166E+01    0.86166E+01    0
   46   51         6   11        0.54237          467.19048      501.47943         0.76579E+01    0.76579E+01    0
   47   52         6   11        0.58253          452.52178      492.27831         0.69177E+01    0.69177E+01    0
   49   54         6   11        0.61912          410.24175      459.36256         0.54744E+01    0.54744E+01    0
   50   55         6   11        0.60880          398.36181      450.26688         0.49706E+01    0.49706E+01    0
   54   59         6   11        0.58067          337.91753      403.76038         0.32619E+01    0.32619E+01    0
   79   84         6   11        0.36093          198.75402      385.61318         0.54458E+00    0.54458E+00    0
   13   18         7   12        4.04480          950.18996     1111.71301         0.33333E+02    0.25764E+02    1
   14   19         7   12       -1.23884         1349.26014     1294.31934         0.33333E+02    0.29800E+02    1
   15   20         7   12       -2.08857         1550.84738     1424.59073         0.33333E+02    0.24595E+02    1
   16   21         7   12       -2.40619         1719.86378     1552.78316         0.33332E+02    0.23545E+02    1
   17   22         7   12       -2.11586         1752.33208     1613.81273         0.33330E+02    0.25694E+02    1
   18   23         7   12       -1.87351         1769.72976     1655.89122         0.33327E+02    0.28178E+02    1
   19   24         7   12       -1.66432         1759.37198     1665.73028         0.33323E+02    0.30430E+02    1
   20   25         7   12       -1.01177         1666.66426     1616.80546         0.33313E+02    0.33313E+02    0
   21   26         7   12       -0.33337         1556.13432     1540.63070         0.33294E+02    0.33294E+02    0
   22   27         7   12       -0.10276         1507.42841     1502.77932         0.33268E+02    0.33268E+02    0
   23   28         7   12       -0.26319         1506.21444     1494.33381         0.33235E+02    0.33235E+02    0
   24   29         7   12       -0.52082         1495.93313     1472.63942         0.33186E+02    0.33186E+02    0
   25   30         7   12       -0.63134         1448.09018     1420.69052         0.33108E+02    0.33050E+02    1
   26   31         7   12       -0.68081         1407.26118     1377.57999         0.33000E+02    0.31937E+02    1
   27   32         7   12       -0.65710         1352.63806     1324.98611         0.32839E+02    0.31814E+02    1
   28   33         7   12       -0.58803         1286.68436     1263.68352         0.32600E+02    0.32600E+02    0
   29   34         7   12       -0.54761         1217.65543     1197.15807         0.32257E+02    0.32257E+02    0
   30   35         7   12       -0.55536         1156.55849     1136.53194         0.31794E+02    0.31794E+02    0
   31   36         7   12       -0.48945         1094.31524     1077.26221         0.31163E+02    0.31163E+02    0
   32   37         7   12       -0.47561         1068.73505     1052.19886         0.30500E+02    0.30500E+02    0
   33   38         7   12       -0.28590         1031.72271     1021.81551         0.29630E+02    0.29630E+02    0
   34   39         7   12       -0.20527         1012.47785     1005.26492         0.28712E+02    0.28712E+02    0
   35   40         7   12       -0.12527          987.04200      982.57369         0.27610E+02    0.27610E+02    0
   36   41         7   12       -0.18843          950.50435      943.70728         0.26256E+02    0.26256E+02    0
   37   42         7   12       -0.02689          875.78623      874.81645         0.24268E+02    0.24268E+02    0
   38   43         7   12       -0.07249          818.06509      815.40575         0.22264E+02    0.22264E+02    0
   39   44         7   12        0.04572          759.52434      761.25351         0.20107E+02    0.20107E+02    0
   40   45         7   12        0.09247          718.00534      721.66596         0.18184E+02    0.18184E+02    0
   41   46         7   12        0.20827          677.45964      686.16895         0.16304E+02    0.16304E+02    0
   42   47         7   12        0.33152          632.95951      647.68269         0.14417E+02    0.14417E+02    0
   43   48         7   12        0.29075          611.11603      624.89357         0.13042E+02    0.13042E+02    0
   44   49         7   12        0.44951          578.69272      601.60063         0.11579E+02    0.11579E+02    0
   45   50         7   12        0.48806          549.98937      576.69537         0.10293E+02    0.10293E+02    0
   46   51         7   12        0.55444          523.94885      556.63643         0.91615E+01    0.91615E+01    0
   47   52         7   12        0.58108          509.18733      546.08895         0.83052E+01    0.83052E+01    0
   48   53         7   12        0.73112          481.99011      532.42229         0.73470E+01    0.73470E+01    0
   49   54         7   12        0.67319          459.07140      508.84783         0.65394E+01    0.65394E+01    0
   50   55         7   12        0.65140          446.66239      498.37997         0.59456E+01    0.59456E+01    0
   51   56         7   12        0.67374          428.95165      486.60150         0.53428E+01    0.53428E+01    0
   52   57         7   12        0.66037          409.95106      470.64497         0.47830E+01    0.47830E+01    0
   54   59         7   12        0.63597          378.02904      445.34066         0.38810E+01    0.38810E+01    0
   56   61         7   12        0.61714          343.44114      418.65858         0.31163E+01    0.31163E+01    0
   79   84         7   12        0.40270          212.89856      412.85738         0.60804E+00    0.60804E+00    0
   14   19         8   13        3.82305         1019.68587     1171.66394         0.33333E+02    0.27518E+02    1
   15   20         8   13       -1.01733         1395.40690     1353.46234         0.33333E+02    0.33333E+02    0
   16   21         8   13       -2.32884         1685.78920     1532.20936         0.33333E+02    0.24380E+02    1
   17   22         8   13       -2.31134         1791.40733     1631.41648         0.33332E+02    0.24706E+02    1
   18   23         8   13       -2.20426         1854.63973     1703.92671         0.33331E+02    0.26007E+02    1
   19   24         8   13       -2.04781         1870.09269     1736.24168         0.33328E+02    0.27574E+02    1
   20   25         8   13       -1.54495         1783.75907     1699.23511         0.33323E+02    0.31825E+02    1
   21   26         8   13       -0.70382         1662.91743     1628.15201         0.33313E+02    0.33313E+02    0
   22   27         8   13       -0.29625         1609.98513     1595.72443         0.33297E+02    0.33297E+02    0
   23   28         8   13       -0.35512         1611.46230     1594.35653         0.33276E+02    0.33276E+02    0
   24   29         8   13       -0.52085         1603.23938     1578.31827         0.33246E+02    0.33246E+02    0
   25   30         8   13       -0.58143         1555.57038     1528.56256         0.33197E+02    0.33197E+02    0
   26   31         8   13       -0.63504         1516.29773     1487.50804         0.33128E+02    0.33128E+02    0
   27   32         8   13       -0.60207         1461.90930     1435.49839         0.33024E+02    0.33024E+02    0
   28   33         8   13       -0.48059         1393.31770     1373.09233         0.32867E+02    0.32867E+02    0
   29   34         8   13       -0.41771         1320.95678     1304.15753         0.32636E+02    0.32636E+02    0
   30   35         8   13       -0.39531         1256.09907     1240.82836         0.32319E+02    0.32319E+02    0
   31   36         8   13       -0.28111         1188.46543     1178.02902         0.31871E+02    0.31871E+02    0
   32   37         8   13       -0.28892         1162.68380     1152.03111         0.31390E+02    0.31390E+02    0
