,X,Y,Vel,Cov, 
347,15.0215,799.449,3153.86,1,
348,14.5826,799.474,3090.08,1,
349,9.40387,799.607,985.401,1,
350,7.83992,799.192,721.881,1,
351,17.0281,799.4,3302.84,1,
352,16.5857,799.47,3299.82,1,
353,5.7255,799.574,541.645,0,
354,2.13153,799.032,770.818,1,
355,30.9836,799.593,1112.95,1,
356,30.5438,799.71,1100.93,1,
357,32.9632,799.241,1202.61,1,
358,32.5131,799.4,1149.12,1,
359,40.9418,799.038,2290.48,1,
360,41.2117,799.038,2294.28,1,
361,42.132,799.105,2084.28,1,
362,43.8442,799.255,1218.58,0,
363,26.4502,799.506,1049.31,1,
364,26.2356,799.57,1053.63,1,
365,22.2174,799.223,1667.06,1,
366,22.4478,799.156,1614.35,1,
367,0.964215,799.719,687.68,1,
368,1.3991,799.752,676.246,1,
369,27.8592,799.579,984.943,1,
370,28.5218,799.785,965.498,1,
371,29.0095,799.701,1000.25,1,
372,28.4104,799.633,975.452,1,
373,43.7236,799.025,1251.39,1,
374,44.5208,799.311,969.612,1,
375,44.3995,799.145,1000.47,1,
376,43.8538,799.136,1208.0,1,
377,12.1687,799.422,2271.97,1,
378,12.3669,799.338,2377.42,1,
379,12.9737,799.418,2617.9,1,
380,12.496,799.504,2409.76,1,
381,36.2061,798.999,1779.61,1,
382,36.4079,798.912,1816.31,1,
383,39.5647,799.153,2243.44,1,
384,36.5202,799.069,1807.78,1,
385,43.4101,799.248,1435.99,1,
386,43.6115,799.1,1333.41,1,
387,27.6336,799.606,989.155,0,
388,27.7348,799.499,996.08,1,
389,39.6074,798.084,2427.69,1,
390,-0.236661,799.806,743.218,1,
391,45.4532,799.336,797.279,1,
392,27.47,799.603,995.067,0,
393,29.2624,799.827,1007.44,1,
394,-0.207211,799.65,764.012,1,
395,-0.412364,799.871,721.478,1,
396,44.7471,799.387,905.544,1,
397,44.1971,799.218,1055.13,1,
398,27.0801,799.412,1025.27,1,
399,30.0352,799.479,1093.18,1,
400,-0.801276,799.417,735.081,1,
401,-0.213241,799.273,807.027,1,
402,46.1303,799.331,903.232,0,
403,38.9879,798.818,2238.73,1,
404,18.268,799.361,3056.11,1,
405,18.0087,799.046,3211.76,1,
406,18.7796,799.502,2834.33,1,
407,37.9705,798.889,2148.58,1,
408,44.1489,798.376,1148.27,0,
409,38.2666,798.999,2159.44,0,
410,14.223,799.417,2999.23,1,
411,13.9889,799.177,2968.65,1,
412,14.7819,799.584,3115.47,1,
413,9.84217,799.55,1089.01,0,
414,5.78417,799.801,526.28,1,
415,4.09682,799.697,620.422,1,
416,21.8373,799.316,1809.65,1,
417,20.5535,799.368,2196.51,1,
418,21.1687,799.014,2044.02,1,
419,20.2021,799.337,2346.98,1,
420,19.9836,799.148,2434.94,1,
421,20.7686,799.467,2125.71,1,
422,16.2561,799.407,3300.19,1,
423,15.9695,799.109,3318.51,1,
424,16.7788,799.548,3290.46,1,
425,1.59973,799.508,698.86,1,
426,8.4049,799.403,812.588,0,
427,7.2164,799.722,620.455,1,
428,25.9126,799.627,1067.96,1,
429,24.5609,799.399,1181.49,1,
430,24.2491,799.241,1216.99,1,
431,29.963,799.632,1079.0,1,
432,31.9339,799.26,1142.8,1,
433,30.3008,799.587,1096.02,1,
434,30.4913,799.559,1103.97,1,
435,30.4186,799.834,1092.88,1,
436,31.9073,799.412,1123.14,1,
437,33.9098,798.973,1320.79,1,
438,32.2287,799.326,1147.88,0,
439,32.4194,799.253,1161.02,0,
440,32.406,799.565,1130.06,1,
441,11.8326,799.511,1976.53,1,
442,10.5165,799.557,1288.85,1,
443,10.1966,799.455,1202.26,1,
444,5.99694,799.727,519.411,1,
445,7.85672,799.509,704.226,1,
446,6.75409,799.707,575.615,1,
447,1.83652,799.693,680.821,0,
448,0.750826,799.827,682.05,1,
449,0.224888,799.643,751.491,1,
450,8.08188,799.62,739.974,1,
451,3.42219,799.73,622.454,1,
452,2.02894,799.526,716.563,1,
453,35.8915,799.1,1706.23,1,
454,34.5924,799.112,1428.93,1,
455,35.4406,799.098,1592.59,1,
456,39.9774,798.686,2348.33,1,
457,38.9648,798.259,2332.2,1,
458,39.9291,799.0,2307.17,1,
459,19.5989,799.242,2554.01,1,
460,21.9925,798.923,1785.58,1,
461,37.4849,799.037,2029.77,1,
462,39.5659,797.027,2732.96,1,
463,25.854,799.538,1077.96,1,
464,25.8916,799.398,1083.36,1,
465,9.70587,799.158,1094.04,1,
466,10.1686,798.959,1232.84,1,
467,4.77258,799.764,589.436,1,
468,7.88643,799.715,700.076,1,
469,1.38924,799.543,696.979,1,
470,42.4188,798.85,1933.56,1,
471,15.5599,799.311,3252.09,0,
472,17.9631,799.266,3234.56,1,
473,3.1369,797.658,935.662,1,
474,6.26102,799.029,598.256,1,
475,17.001,799.188,3340.02,1,
476,20.3165,799.03,2308.5,1,
477,4.28487,799.729,614.316,1,
478,-0.400797,798.948,831.291,1,
479,31.5473,799.421,1121.91,1,
480,33.5327,799.021,1280.23,1,
481,21.5858,799.099,1901.41,1,
482,22.5373,798.859,1629.8,1,
483,27.7277,799.313,1014.96,1,
484,31.9344,798.896,1182.88,1,
485,11.6085,799.313,1850.15,1,
486,13.9192,799.358,2934.0,1,
487,14.4261,799.058,3080.99,1,
488,14.9399,799.173,3168.22,1,
489,35.6529,798.762,1682.71,1,
490,41.2382,798.59,2373.91,1,
491,33.2488,797.654,1520.61,1,
492,41.8724,797.991,2384.77,1,
493,41.9435,799.149,2248.7,1,
494,27.917,799.213,1022.52,1,
495,28.7471,799.849,976.659,1,
496,25.4409,799.57,1106.87,1,
497,25.7665,799.301,1095.08,1,
498,25.4892,799.394,1107.04,1,
499,25.7586,799.086,1112.08,1,
500,26.3301,799.145,1095.36,1,
501,26.13,799.182,1091.07,1,
502,30.3944,799.239,1111.37,1,
503,31.4501,799.581,1111.87,1,
504,32.1677,799.009,1175.27,1,
505,33.2311,799.332,1219.43,1,
506,42.1713,798.985,2080.3,0,
507,48.5397,799.26,1488.21,0,
508,40.7686,799.121,2272.94,1,
509,35.1772,798.278,1671.09,1,
510,43.4458,799.07,1418.91,1,
511,34.2464,799.041,1369.65,1,
512,35.2621,798.749,1600.4,1,
513,34.7852,799.202,1457.73,1,
514,23.8582,799.285,1266.75,1,
515,23.4101,799.357,1354.91,1,
516,23.3754,799.125,1380.47,1,
517,23.1088,799.08,1444.55,1,
518,23.7346,798.838,1354.79,1,
519,32.1097,799.216,1155.01,1,
520,35.8059,798.859,1718.72,1,
521,38.5833,799.069,2173.16,1,
522,41.0982,799.123,2283.71,1,
523,26.7652,799.764,1006.11,1,
524,27.002,799.673,1003.78,1,
525,30.5786,799.316,1112.67,1,
526,28.71,799.278,1022.03,1,
527,18.2437,799.001,3097.8,1,
528,19.4832,799.385,2587.05,1,
529,41.1951,798.884,2316.69,1,
530,38.4325,799.172,2151.74,1,
531,14.1996,799.225,3016.21,1,
532,15.46,799.475,3221.21,1,
533,8.77629,799.701,869.693,1,
534,8.58874,799.625,841.162,1,
535,20.9782,799.356,2073.75,1,
536,21.3695,799.135,1966.63,1,
537,20.1695,799.184,2359.87,1,
538,20.5402,799.117,2218.15,1,
539,16.2208,799.054,3343.79,1,
540,17.4762,799.423,3283.17,1,
541,6.9705,799.599,604.965,1,
542,4.05162,799.848,613.022,1,
543,24.7739,799.509,1158.21,1,
544,25.0157,799.438,1142.58,1,
545,10.7426,799.628,1378.45,1,
546,10.9564,799.51,1489.03,1,
547,2.77841,799.743,643.65,1,
548,7.39484,799.439,656.139,1,
549,0.433522,799.593,738.274,1,
550,1.2048,799.402,716.412,1,
551,3.42451,799.516,637.082,1,
552,2.44212,799.469,704.864,1,
553,35.0151,799.089,1510.38,1,
554,35.4448,798.891,1620.15,1,
555,39.7455,798.636,2335.65,1,
556,37.811,798.939,2104.97,1,
557,34.3541,798.837,1407.86,1,
558,34.5848,798.854,1449.16,1,
559,22.7693,799.409,1487.34,1,
560,22.9935,799.315,1434.23,1,
561,42.2197,799.173,2015.09,1,
562,42.6107,799.11,1780.54,1,
563,-0.335456,799.488,769.453,1,
564,4.1957,799.629,624.811,1,
565,28.0791,799.365,1007.76,1,
566,29.4911,799.752,1026.74,1,
567,43.788,798.839,1232.92,1,
568,43.9975,798.884,1154.28,1,
569,-0.596954,799.765,719.71,1,
570,45.7637,799.175,837.365,0,
571,46.364,799.405,989.902,0,
572,9.96049,799.183,1154.09,1,
573,13.4642,799.481,2791.78,1,
574,43.2937,798.894,1480.32,1,
575,37.2576,799.121,1964.39,1,
576,30.2232,799.457,1099.71,1,
577,30.8645,799.306,1126.43,1,
578,32.3878,799.033,1188.55,1,
579,32.5747,798.843,1231.53,1,
580,42.4824,798.384,1919.96,1,
581,42.3394,799.113,1954.09,1,
582,41.3419,798.769,2332.92,1,
583,39.6257,798.846,2295.96,0,
584,25.9631,798.988,1113.84,1,
585,27.3543,799.402,1016.43,1,
586,25.097,799.177,1148.91,1,
587,27.0306,798.967,1088.77,1,
588,18.3607,799.203,3032.27,1,
589,17.3341,798.916,3361.1,1,
590,40.1395,798.971,2310.5,1,
591,39.7282,798.984,2283.65,1,
592,14.651,799.196,3113.17,1,
593,15.7877,798.631,3367.99,1,
594,6.48691,796.309,1215.18,1,
595,7.62938,798.72,734.796,1,
596,16.3531,799.243,3322.82,1,
597,16.5702,799.258,3323.02,1,
598,5.2205,798.196,759.927,1,
599,3.84494,798.44,786.59,1,
600,24.3241,798.734,1280.39,1,
601,25.3714,799.177,1124.53,1,
602,4.97422,799.443,602.408,0,
603,11.7098,799.099,1948.25,1,
604,8.1805,799.24,781.596,1,
605,5.07644,798.524,709.133,1,
606,0.0429362,799.329,822.016,1,
607,8.44215,799.045,837.182,1,
608,8.58336,799.441,846.167,1,
609,3.72254,799.062,696.58,1,
610,41.4671,799.043,2288.13,1,
611,36.1795,798.034,1962.3,1,
612,22.2529,798.686,1754.06,1,
613,23.5878,799.075,1345.1,1,
614,42.5886,796.672,2092.32,0,
615,1.41859,795.219,1765.8,1,
616,28.2793,799.304,1015.18,1,
617,29.6172,799.598,1049.1,1,
618,42.4447,799.182,1862.37,1,
619,45.5337,799.122,830.296,1,
620,35.3446,797.936,1785.9,1,
621,50.3866,798.929,1681.53,0,
622,3.16395,799.429,655.745,1,
623,13.5709,799.314,2846.47,0,
624,43.049,798.94,1588.93,1,
625,42.3036,798.98,1988.27,1,
626,38.5712,798.867,2197.69,1,
627,41.0545,798.811,2326.7,1,
628,-3.09293,799.537,575.223,1,
629,-3.92774,799.265,665.829,1,
630,41.0412,798.628,2354.33,1,
631,40.0141,798.909,2324.05,1,
632,41.6756,798.331,2451.64,1,
633,40.0327,797.943,2493.42,1,
634,38.4227,798.364,2241.14,1,
635,39.0263,797.481,2541.23,1,
636,18.6751,796.462,3311.72,1,
637,44.7897,798.406,1008.53,0,
638,43.6361,797.987,1414.61,0,
639,8.16038,796.873,1164.5,1,
640,-5.03009,799.027,832.337,0,
641,-3.37973,799.846,549.081,1,
642,51.5119,799.281,1763.18,0,
643,11.9482,799.144,2115.88,1,
644,20.7022,794.826,3211.42,1,
645,-0.210323,798.091,988.989,1,
646,1.44705,799.002,742.558,1,
647,3.60843,799.483,637.426,1,
648,15.4927,799.073,3271.6,1,
649,18.5715,799.216,2946.04,0,
650,17.124,799.011,3364.35,1,
651,20.2245,798.782,2368.0,1,
652,8.78689,798.454,993.194,1,
653,4.53316,798.099,801.453,1,
654,31.5203,799.18,1139.51,1,
655,33.4505,798.783,1303.92,1,
656,21.7051,798.872,1881.64,1,
657,24.0508,798.906,1289.42,1,
658,29.6448,799.346,1072.82,1,
659,31.154,799.069,1151.42,1,
660,3.10402,798.243,840.617,1,
661,3.71448,799.643,621.704,1,
662,36.1599,798.569,1840.75,1,
663,46.3547,797.664,1315.32,0,
664,41.6695,798.818,2328.95,1,
665,39.2189,798.726,2277.35,1,
666,28.2227,798.903,1067.63,1,
667,28.4643,799.451,1004.04,1,
668,13.5406,799.058,2863.58,1,
669,12.9322,799.073,2649.88,1,
670,19.4086,798.851,2666.18,1,
671,17.5467,799.026,3325.65,1,
672,5.53931,797.406,920.956,1,
673,7.8993,798.765,775.491,1,
