,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,26.00,33.00,10.00,17.00,46690.65,0.00,0.00,-93.17,-1804.003,8.204
,Mixed / non conventional,26.00,33.00,17.00,24.00,15870.33,0.04,0.00,66.88,-7051.659,8.204
,Mixed / non conventional,26.00,33.00,24.00,31.00,14127.22,0.06,0.00,402.09,8736.472,5.640
,Mixed / non conventional,26.00,33.00,31.00,38.00,4477.57,0.06,0.00,-175.52,-736.910,5.640
,Mixed / non conventional,26.00,33.00,38.00,45.00,15408.43,0.06,0.00,-21.13,-1189.076,5.640
,Mixed / non conventional,26.00,33.00,45.00,52.00,25863.61,0.06,0.00,1.98,-383.828,5.640
,Mixed / non conventional,26.00,33.00,52.00,59.00,35546.57,0.06,0.00,-20.85,-191.828,5.640
,Mixed / non conventional,26.00,33.00,59.00,66.00,19360.84,0.08,0.00,-1.16,-49.629,5.640
,Mixed / non conventional,26.00,33.00,66.00,1.00,2454.45,0.32,0.00,-190.38,-51.384,9.360
,Mixed / non conventional,26.00,33.00,1.00,8.00,4285.97,0.15,0.00,106.86,-43.453,9.360
,Mixed / non conventional,26.00,33.00,8.00,15.00,49465.59,0.12,0.00,-28.12,-1458.910,9.360
,Mixed / non conventional,26.00,33.00,15.00,22.00,22380.56,0.12,0.00,0.72,-4125.497,9.360
,Mixed / non conventional,26.00,33.00,22.00,29.00,55517.51,0.12,0.00,161.70,6265.566,9.360
,Mixed / non conventional,26.00,33.00,29.00,36.00,9124.78,0.82,0.00,-97.13,4316.551,9.386
,Mixed / non conventional,26.00,33.00,36.00,43.00,12413.32,0.82,0.00,183.64,-3563.330,9.386
,Mixed / non conventional,26.00,33.00,43.00,50.00,20145.75,0.79,0.00,-107.41,-722.872,9.386
,Mixed / non conventional,26.00,33.00,50.00,57.00,43181.61,0.78,0.00,-41.68,-499.822,9.386
,Mixed / non conventional,26.00,33.00,57.00,64.00,22721.13,0.78,0.00,18.58,-117.655,9.386
,Mixed / non conventional,26.00,33.00,64.00,71.00,3710.35,0.80,0.00,-13.81,-10.247,9.386
,Mixed / non conventional,26.00,33.00,71.00,6.00,2858.22,0.80,0.00,-145.21,-72.828,9.386
,Mixed / non conventional,26.00,33.00,6.00,13.00,30382.14,0.79,0.00,17.55,-633.607,9.386
,Mixed / non conventional,26.00,33.00,13.00,20.00,36512.60,0.79,0.00,61.79,-3426.546,9.386
,Mixed / non conventional,26.00,33.00,20.00,27.00,6409.28,0.82,0.00,204.72,-569.694,0.751
,Mixed / non conventional,26.00,33.00,27.00,34.00,8902.46,0.82,0.00,-124.26,1817.946,0.751
,Mixed / non conventional,26.00,33.00,34.00,41.00,7995.86,0.82,0.00,82.99,-780.564,0.751
,Mixed / non conventional,26.00,33.00,41.00,48.00,18559.59,0.80,0.00,-3.85,-82.355,0.751
,Mixed / non conventional,26.00,33.00,48.00,55.00,41356.57,0.83,0.00,-64.28,-50.624,0.751
,Mixed / non conventional,26.00,33.00,55.00,62.00,22342.40,0.03,0.00,-7.83,-142.094,9.365
,Mixed / non conventional,26.00,33.00,62.00,69.00,12543.15,0.06,0.00,-5.00,-40.814,9.365
,Mixed / non conventional,26.00,33.00,69.00,4.00,2796.22,0.03,0.00,176.92,-64.576,9.365
,Mixed / non conventional,26.00,33.00,4.00,11.00,19998.64,0.00,0.00,-413.98,-305.252,9.365
,Mixed / non conventional,26.00,33.00,11.00,18.00,43279.14,0.02,0.00,147.41,-2394.663,9.365
,Mixed / non conventional,26.00,33.00,18.00,25.00,9253.56,0.07,0.00,-158.98,-2408.623,2.003
,Mixed / non conventional,26.00,33.00,25.00,32.00,8269.18,0.04,0.00,395.21,4502.464,2.003
,Mixed / non conventional,26.00,33.00,32.00,39.00,4001.83,0.05,0.00,-65.88,-948.433,2.003
,Mixed / non conventional,26.00,33.00,39.00,46.00,18242.31,0.05,0.00,-48.03,-365.255,2.003
,Mixed / non conventional,26.00,33.00,46.00,53.00,29695.12,0.05,0.00,-30.18,-132.126,2.003
,Mixed / non conventional,26.00,33.00,53.00,60.00,29379.42,0.03,0.00,-8.32,-49.982,2.003
,Mixed / non conventional,26.00,33.00,60.00,67.00,19421.64,0.22,0.00,4.75,-75.406,9.369
,Mixed / non conventional,26.00,33.00,67.00,2.00,2303.59,0.33,0.00,138.66,-49.567,9.369
,Mixed / non conventional,26.00,33.00,2.00,9.00,4840.53,0.03,0.00,3.14,-55.927,9.369
,Mixed / non conventional,26.00,33.00,9.00,16.00,47597.73,0.03,0.00,-306.54,-1704.799,9.369
,Mixed / non conventional,26.00,33.00,16.00,23.00,17194.31,0.00,0.00,-128.15,-4926.764,9.369
,Mixed / non conventional,26.00,33.00,23.00,30.00,18479.69,0.03,0.00,395.68,8723.060,9.366
,Mixed / non conventional,26.00,33.00,30.00,37.00,13119.94,0.04,0.00,-73.55,1481.596,9.366
,Mixed / non conventional,26.00,33.00,37.00,44.00,12602.66,0.03,0.00,40.73,-2324.529,9.366
,Mixed / non conventional,26.00,33.00,44.00,51.00,21451.72,0.00,0.00,-44.35,-633.075,9.366
,Mixed / non conventional,26.00,33.00,51.00,58.00,39957.98,0.06,0.00,-15.40,-405.358,9.366
,Mixed / non conventional,26.00,33.00,58.00,65.00,20324.38,0.05,0.00,12.85,-95.161,9.366
,Mixed / non conventional,26.00,33.00,65.00,72.00,5703.66,0.15,0.00,-12.71,-14.514,9.366
,Mixed / non conventional,26.00,33.00,72.00,7.00,2837.17,0.06,0.00,-161.79,-76.430,9.366
,Mixed / non conventional,26.00,33.00,7.00,14.00,37290.95,0.00,0.00,80.51,-918.953,9.366
,Mixed / non conventional,26.00,33.00,14.00,21.00,30799.84,0.04,0.00,-77.14,-3946.767,9.366
,Mixed / non conventional,26.00,33.00,21.00,28.00,-7224.04,0.10,0.00,233.60,781.728,3.709
,Mixed / non conventional,26.00,33.00,28.00,35.00,9523.30,0.10,0.00,-37.19,3872.312,3.709
,Mixed / non conventional,26.00,33.00,35.00,42.00,10483.97,0.09,0.00,-22.73,-2105.683,3.709
,Mixed / non conventional,26.00,33.00,42.00,49.00,18162.76,0.09,0.00,-22.89,-317.213,3.709
,Mixed / non conventional,26.00,33.00,49.00,56.00,42210.90,0.09,0.00,0.79,-221.164,3.709
,Mixed / non conventional,26.00,33.00,56.00,63.00,22021.99,0.09,0.00,8.34,-49.896,3.709
,Mixed / non conventional,26.00,33.00,63.00,70.00,13094.72,0.08,0.00,-7.91,-39.161,9.365
,Mixed / non conventional,26.00,33.00,70.00,5.00,3130.56,0.06,0.00,-165.16,-75.607,9.365
,Mixed / non conventional,26.00,33.00,5.00,12.00,20604.21,0.04,0.00,81.70,-365.579,9.365
,Mixed / non conventional,26.00,33.00,12.00,19.00,41148.46,0.03,0.00,-68.77,-2920.380,9.365
,Mixed / non conventional,27.00,34.00,41.00,48.00,15038.69,1.04,0.00,4.18,-1125.382,9.874
,Mixed / non conventional,27.00,34.00,48.00,55.00,29723.06,1.27,0.00,-72.08,-556.063,9.874
,Mixed / non conventional,27.00,34.00,55.00,62.00,17496.83,0.11,0.00,-8.16,-130.933,9.874
,Mixed / non conventional,27.00,34.00,62.00,69.00,10208.36,0.17,0.00,-4.61,-38.196,9.874
,Mixed / non conventional,27.00,34.00,69.00,4.00,2515.74,0.15,0.00,177.08,-58.933,9.874
,Mixed / non conventional,27.00,34.00,4.00,11.00,19197.25,0.12,0.00,-411.04,-267.797,9.874
,Mixed / non conventional,27.00,34.00,11.00,18.00,44192.65,0.11,0.00,142.06,-2054.920,9.874
,Mixed / non conventional,27.00,34.00,18.00,25.00,12712.04,0.10,0.00,-130.94,-6797.639,9.874
,Mixed / non conventional,27.00,34.00,25.00,32.00,12184.32,0.04,0.00,338.34,10032.306,7.510
,Mixed / non conventional,27.00,34.00,32.00,39.00,4753.45,0.00,0.00,-44.83,-1041.600,7.510
,Mixed / non conventional,27.00,34.00,39.00,46.00,12914.20,0.00,0.00,-49.55,-1326.902,7.510
,Mixed / non conventional,27.00,34.00,46.00,53.00,23782.25,0.04,0.00,-30.98,-469.917,7.510
,Mixed / non conventional,27.00,34.00,53.00,60.00,23687.34,0.03,0.00,-8.61,-170.197,7.510
,Mixed / non conventional,27.00,34.00,60.00,67.00,14751.92,0.09,0.00,3.65,-50.348,7.510
,Mixed / non conventional,27.00,34.00,67.00,2.00,2179.19,0.11,0.00,141.28,-48.148,9.879
,Mixed / non conventional,27.00,34.00,2.00,9.00,4584.03,0.07,0.00,3.45,-49.048,9.879
,Mixed / non conventional,27.00,34.00,9.00,16.00,47571.00,0.04,0.00,-305.61,-1480.734,9.879
,Mixed / non conventional,27.00,34.00,16.00,23.00,20119.57,0.05,0.00,-114.07,-3914.115,9.879
,Mixed / non conventional,27.00,34.00,23.00,30.00,35569.29,0.06,0.00,380.15,4236.578,9.879
,Mixed / non conventional,27.00,34.00,30.00,37.00,9747.75,0.04,0.00,-68.03,4852.928,9.878
,Mixed / non conventional,27.00,34.00,37.00,44.00,8216.60,0.07,0.00,41.51,-2482.247,9.878
,Mixed / non conventional,27.00,34.00,44.00,51.00,16765.35,0.05,0.00,-45.29,-633.105,9.878
,Mixed / non conventional,27.00,34.00,51.00,58.00,31938.32,0.05,0.00,-16.22,-389.057,9.878
,Mixed / non conventional,27.00,34.00,58.00,65.00,16012.22,0.00,0.00,13.06,-87.261,9.878
,Mixed / non conventional,27.00,34.00,65.00,72.00,4572.75,0.54,0.00,-12.89,-13.291,9.878
,Mixed / non conventional,27.00,34.00,72.00,7.00,2573.11,0.07,0.00,-158.99,-69.000,9.878
,Mixed / non conventional,27.00,34.00,7.00,14.00,36497.68,0.05,0.00,80.72,-801.035,9.878
,Mixed / non conventional,27.00,34.00,14.00,21.00,33334.21,0.06,0.00,-75.18,-3292.219,9.878
,Mixed / non conventional,27.00,34.00,21.00,28.00,5614.41,0.17,0.00,228.41,-624.602,0.940
,Mixed / non conventional,27.00,34.00,28.00,35.00,7349.89,0.17,0.00,-34.80,1878.536,0.940
,Mixed / non conventional,27.00,34.00,35.00,42.00,5985.32,0.17,0.00,-23.73,-731.305,0.940
,Mixed / non conventional,27.00,34.00,42.00,49.00,13433.66,0.16,0.00,-23.32,-74.608,0.940
,Mixed / non conventional,27.00,34.00,49.00,56.00,32733.56,0.14,0.00,0.01,-50.150,0.940
,Mixed / non conventional,27.00,34.00,56.00,63.00,17753.76,0.09,0.00,7.87,-118.983,9.869
,Mixed / non conventional,27.00,34.00,63.00,70.00,9549.70,0.03,0.00,-8.16,-32.745,9.869
,Mixed / non conventional,27.00,34.00,70.00,5.00,2774.75,0.03,0.00,-163.31,-67.526,9.869
,Mixed / non conventional,27.00,34.00,5.00,12.00,20028.01,0.06,0.00,83.66,-322.139,9.869
,Mixed / non conventional,27.00,34.00,12.00,19.00,42713.14,0.06,0.00,-70.26,-2490.438,9.869
,Mixed / non conventional,27.00,34.00,19.00,26.00,8311.38,0.22,0.00,-242.97,-3329.946,3.082
,Mixed / non conventional,27.00,34.00,26.00,33.00,9181.99,0.22,0.00,598.76,7695.353,3.082
,Mixed / non conventional,27.00,34.00,33.00,40.00,7592.83,0.22,0.00,-155.63,-2769.850,3.082
,Mixed / non conventional,27.00,34.00,40.00,47.00,14314.17,0.23,0.00,36.32,-441.151,3.082
,Mixed / non conventional,27.00,34.00,47.00,54.00,27891.52,0.19,0.00,-53.67,-191.021,3.082
,Mixed / non conventional,27.00,34.00,54.00,61.00,19062.76,0.20,0.00,-6.92,-49.918,3.082
,Mixed / non conventional,27.00,34.00,61.00,68.00,14883.94,0.14,0.00,2.93,-59.061,9.575
,Mixed / non conventional,27.00,34.00,68.00,3.00,2103.85,0.55,0.00,-119.71,-46.266,9.575
,Mixed / non conventional,27.00,34.00,3.00,10.00,9289.35,0.28,0.00,-70.79,-109.691,9.575
,Mixed / non conventional,27.00,34.00,10.00,17.00,47221.02,0.30,0.00,-83.39,-1728.554,9.575
,Mixed / non conventional,27.00,34.00,17.00,24.00,19140.02,0.29,0.00,124.08,-5605.053,9.575
,Mixed / non conventional,27.00,34.00,24.00,31.00,18516.85,0.03,0.00,251.50,9214.181,9.873
,Mixed / non conventional,27.00,34.00,31.00,38.00,12972.48,0.00,0.00,-95.67,1544.317,9.873
,Mixed / non conventional,27.00,34.00,38.00,45.00,10392.57,0.03,0.00,-18.55,-2020.743,9.873
,Mixed / non conventional,27.00,34.00,45.00,52.00,20445.68,0.00,0.00,1.66,-636.077,9.873
,Mixed / non conventional,27.00,34.00,52.00,59.00,28567.87,0.00,0.00,-20.29,-305.512,9.873
,Mixed / non conventional,27.00,34.00,59.00,66.00,15341.60,0.12,0.00,-0.91,-75.723,9.873
,Mixed / non conventional,27.00,34.00,66.00,1.00,2178.32,0.22,0.00,-185.67,-47.126,9.873
,Mixed / non conventional,27.00,34.00,1.00,8.00,4081.03,0.04,0.00,106.37,-38.552,9.873
,Mixed / non conventional,27.00,34.00,8.00,15.00,48831.17,0.03,0.00,-26.36,-1268.534,9.873
,Mixed / non conventional,27.00,34.00,15.00,22.00,24950.78,0.03,0.00,19.44,-3370.486,9.873
,Mixed / non conventional,27.00,34.00,22.00,29.00,-4787.45,0.13,0.00,116.07,645.879,4.624
,Mixed / non conventional,27.00,34.00,29.00,36.00,8474.81,0.13,0.00,3.93,4296.199,4.624
,Mixed / non conventional,27.00,34.00,36.00,43.00,8477.62,0.12,0.00,102.11,-2122.820,4.624
,Mixed / non conventional,27.00,34.00,43.00,50.00,15562.42,0.11,0.00,-109.26,-338.859,4.624
,Mixed / non conventional,27.00,34.00,50.00,57.00,34403.98,0.12,0.00,-42.44,-224.735,4.624
,Mixed / non conventional,27.00,34.00,57.00,64.00,17782.04,0.14,0.00,19.77,-50.230,4.624
,Mixed / non conventional,27.00,34.00,64.00,71.00,3166.81,0.15,0.00,-15.79,-9.983,9.872
,Mixed / non conventional,27.00,34.00,71.00,6.00,2557.04,0.04,0.00,-138.93,-65.100,9.872
,Mixed / non conventional,27.00,34.00,6.00,13.00,29557.42,0.03,0.00,23.03,-552.830,9.872
,Mixed / non conventional,27.00,34.00,13.00,20.00,38598.59,0.03,0.00,67.04,-2887.729,9.872
,Mixed / non conventional,28.00,35.00,42.00,49.00,12261.34,0.05,0.00,-25.19,-643.793,6.928
,Mixed / non conventional,28.00,35.00,49.00,56.00,29854.06,0.03,0.00,-2.61,-391.879,6.928
,Mixed / non conventional,28.00,35.00,56.00,63.00,15701.70,0.00,0.00,8.54,-82.443,6.928
,Mixed / non conventional,28.00,35.00,63.00,70.00,9158.33,0.03,0.00,-8.18,-24.043,6.928
,Mixed / non conventional,28.00,35.00,70.00,5.00,2160.11,0.15,0.00,-159.10,-35.505,6.928
,Mixed / non conventional,28.00,35.00,5.00,12.00,16825.67,0.05,0.00,86.18,-164.686,6.928
,Mixed / non conventional,28.00,35.00,12.00,19.00,38097.73,0.04,0.00,-74.02,-1242.975,6.928
,Mixed / non conventional,28.00,35.00,19.00,26.00,9360.75,0.00,0.00,-176.60,-3512.141,6.928
,Mixed / non conventional,28.00,35.00,26.00,33.00,9579.81,0.05,0.00,494.63,7275.583,6.927
,Mixed / non conventional,28.00,35.00,33.00,40.00,2202.11,0.23,0.00,-133.89,-445.084,6.927
,Mixed / non conventional,28.00,35.00,40.00,47.00,13267.14,0.03,0.00,37.16,-1257.361,6.927
,Mixed / non conventional,28.00,35.00,47.00,54.00,25259.47,0.03,0.00,-57.61,-460.366,6.927
,Mixed / non conventional,28.00,35.00,54.00,61.00,17101.20,0.03,0.00,-7.67,-113.337,6.927
,Mixed / non conventional,28.00,35.00,61.00,68.00,13235.29,0.05,0.00,4.01,-41.665,6.927
,Mixed / non conventional,28.00,35.00,68.00,3.00,1797.04,0.10,0.00,-115.29,-27.841,6.927
,Mixed / non conventional,28.00,35.00,3.00,10.00,7708.89,0.03,0.00,-69.13,-57.838,6.927
,Mixed / non conventional,28.00,35.00,10.00,17.00,40971.73,0.03,0.00,-84.94,-894.266,6.927
,Mixed / non conventional,28.00,35.00,17.00,24.00,18239.43,0.04,0.00,122.90,-2488.134,6.927
,Mixed / non conventional,28.00,35.00,24.00,31.00,11150.16,0.07,0.00,243.26,930.830,6.924
,Mixed / non conventional,28.00,35.00,31.00,38.00,15345.67,0.03,0.00,-86.75,5354.901,6.924
,Mixed / non conventional,28.00,35.00,38.00,45.00,9827.79,0.04,0.00,-19.96,-2081.013,6.924
,Mixed / non conventional,28.00,35.00,45.00,52.00,17607.72,0.05,0.00,0.16,-466.050,6.924
,Mixed / non conventional,28.00,35.00,52.00,59.00,25163.27,0.04,0.00,-20.63,-214.849,6.924
,Mixed / non conventional,28.00,35.00,59.00,66.00,13729.58,0.04,0.00,-1.30,-52.443,6.924
,Mixed / non conventional,28.00,35.00,66.00,1.00,1864.05,0.17,0.00,-181.79,-27.869,6.924
,Mixed / non conventional,28.00,35.00,1.00,8.00,3344.98,0.05,0.00,106.32,-19.675,6.924
,Mixed / non conventional,28.00,35.00,8.00,15.00,41580.44,0.00,0.00,-27.49,-639.649,6.924
,Mixed / non conventional,28.00,35.00,15.00,22.00,23274.36,0.00,0.00,18.59,-1611.174,6.924
,Mixed / non conventional,28.00,35.00,22.00,29.00,7105.55,0.06,0.00,109.35,-869.970,1.035
,Mixed / non conventional,28.00,35.00,29.00,36.00,8484.75,0.04,0.00,12.75,2386.628,1.035
,Mixed / non conventional,28.00,35.00,36.00,43.00,7717.89,0.06,0.00,100.17,-1037.807,1.035
,Mixed / non conventional,28.00,35.00,43.00,50.00,13233.52,0.06,0.00,-110.87,-80.885,1.035
,Mixed / non conventional,28.00,35.00,50.00,57.00,29694.08,0.05,0.00,-43.38,-50.068,1.035
,Mixed / non conventional,28.00,35.00,57.00,64.00,16066.42,0.04,0.00,19.39,-75.540,6.924
,Mixed / non conventional,28.00,35.00,64.00,71.00,2755.75,0.00,0.00,-15.11,-6.629,6.924
,Mixed / non conventional,28.00,35.00,71.00,6.00,2063.97,0.09,0.00,-138.69,-35.238,6.924
,Mixed / non conventional,28.00,35.00,6.00,13.00,24914.29,0.03,0.00,23.28,-281.135,6.924
,Mixed / non conventional,28.00,35.00,13.00,20.00,34863.12,0.03,0.00,64.46,-1426.071,6.924
,Mixed / non conventional,28.00,35.00,20.00,27.00,8570.79,0.00,0.00,-469.88,-7712.917,6.924
,Mixed / non conventional,28.00,35.00,27.00,34.00,7576.71,0.05,0.00,708.20,7842.020,3.807
,Mixed / non conventional,28.00,35.00,34.00,41.00,4043.78,0.05,0.00,-121.26,-1821.776,3.807
,Mixed / non conventional,28.00,35.00,41.00,48.00,12767.38,0.06,0.00,-5.08,-485.934,3.807
,Mixed / non conventional,28.00,35.00,48.00,55.00,31909.71,0.03,0.00,-66.21,-269.890,3.807
,Mixed / non conventional,28.00,35.00,55.00,62.00,15657.09,0.05,0.00,-9.04,-50.634,3.807
,Mixed / non conventional,28.00,35.00,62.00,69.00,9314.30,0.11,0.00,-3.79,-26.720,6.923
,Mixed / non conventional,28.00,35.00,69.00,4.00,2106.55,0.31,0.00,179.97,-33.491,6.923
,Mixed / non conventional,28.00,35.00,4.00,11.00,15992.53,0.19,0.00,-401.08,-136.523,6.923
,Mixed / non conventional,28.00,35.00,11.00,18.00,38848.73,0.20,0.00,139.19,-1028.078,6.923
,Mixed / non conventional,28.00,35.00,18.00,25.00,12887.08,0.21,0.00,-71.80,-2728.309,6.923
,Mixed / non conventional,28.00,35.00,25.00,32.00,9597.65,0.21,0.00,255.06,3348.500,6.923
,Mixed / non conventional,28.00,35.00,32.00,39.00,34854.93,0.20,0.00,-18.46,2909.198,6.923
,Mixed / non conventional,28.00,35.00,39.00,46.00,12338.59,0.20,0.00,-48.66,-1682.091,6.923
,Mixed / non conventional,28.00,35.00,46.00,53.00,20498.58,0.19,0.00,-31.54,-447.124,6.923
,Mixed / non conventional,28.00,35.00,53.00,60.00,20960.54,0.18,0.00,-9.51,-157.163,6.923
,Mixed / non conventional,28.00,35.00,60.00,67.00,13173.31,0.13,0.00,5.57,-45.609,6.926
,Mixed / non conventional,28.00,35.00,67.00,2.00,1857.57,0.39,0.00,143.33,-28.189,6.926
,Mixed / non conventional,28.00,35.00,2.00,9.00,3811.75,0.13,0.00,3.22,-25.258,6.926
,Mixed / non conventional,28.00,35.00,9.00,16.00,40846.77,0.20,0.00,-300.46,-744.315,6.926
,Mixed / non conventional,28.00,35.00,16.00,23.00,19295.62,0.20,0.00,-84.06,-1828.359,6.926
,Mixed / non conventional,28.00,35.00,23.00,30.00,13348.71,0.21,0.00,325.09,-2697.505,6.926
,Mixed / non conventional,28.00,35.00,30.00,37.00,11842.79,0.05,0.00,-53.38,8981.286,6.917
,Mixed / non conventional,28.00,35.00,37.00,44.00,7611.60,0.07,0.00,44.44,-2851.313,6.917
,Mixed / non conventional,28.00,35.00,44.00,51.00,14377.03,0.03,0.00,-46.46,-468.317,6.917
,Mixed / non conventional,28.00,35.00,51.00,58.00,28115.41,0.04,0.00,-16.29,-274.749,6.917
,Mixed / non conventional,28.00,35.00,58.00,65.00,14404.88,0.00,0.00,12.40,-60.872,6.917
,Mixed / non conventional,28.00,35.00,65.00,72.00,4260.19,0.18,0.00,-13.13,-9.411,6.917
,Mixed / non conventional,28.00,35.00,72.00,7.00,2061.59,0.16,0.00,-152.79,-36.777,6.917
,Mixed / non conventional,28.00,35.00,7.00,14.00,31001.61,0.03,0.00,80.49,-406.294,6.917
,Mixed / non conventional,28.00,35.00,14.00,21.00,30482.96,0.04,0.00,-65.37,-1597.986,6.917
,Mixed / non conventional,29.00,36.00,43.00,50.00,13773.42,0.05,0.00,-110.89,-657.263,6.296
,Mixed / non conventional,29.00,36.00,50.00,57.00,31086.83,0.04,0.00,-43.26,-370.863,6.296
,Mixed / non conventional,29.00,36.00,57.00,64.00,15720.16,0.07,0.00,18.88,-75.016,6.296
,Mixed / non conventional,29.00,36.00,64.00,71.00,2671.18,0.10,0.00,-13.37,-6.373,6.296
,Mixed / non conventional,29.00,36.00,71.00,6.00,1983.73,0.13,0.00,-140.65,-29.634,6.296
,Mixed / non conventional,29.00,36.00,6.00,13.00,24603.95,0.04,0.00,23.29,-218.866,6.296
,Mixed / non conventional,29.00,36.00,13.00,20.00,36064.29,0.06,0.00,64.74,-1069.373,6.296
,Mixed / non conventional,29.00,36.00,20.00,27.00,10281.09,0.04,0.00,-354.56,-3505.817,6.296
,Mixed / non conventional,29.00,36.00,27.00,34.00,8488.00,0.05,0.00,601.47,5859.639,6.296
,Mixed / non conventional,29.00,36.00,34.00,41.00,-3953.88,0.09,0.00,-94.49,726.409,6.296
,Mixed / non conventional,29.00,36.00,41.00,48.00,12868.08,0.40,0.00,0.62,-1107.631,6.291
,Mixed / non conventional,29.00,36.00,48.00,55.00,31890.59,0.98,0.00,-71.88,-527.887,6.291
,Mixed / non conventional,29.00,36.00,55.00,62.00,15506.13,0.04,0.00,-9.27,-93.336,6.291
,Mixed / non conventional,29.00,36.00,62.00,69.00,9094.41,0.00,0.00,-3.54,-26.002,6.291
,Mixed / non conventional,29.00,36.00,69.00,4.00,2078.16,0.00,0.00,182.07,-29.242,6.291
,Mixed / non conventional,29.00,36.00,4.00,11.00,15713.98,0.03,0.00,-397.91,-107.080,6.291
,Mixed / non conventional,29.00,36.00,11.00,18.00,39614.91,0.03,0.00,136.42,-785.308,6.291
,Mixed / non conventional,29.00,36.00,18.00,25.00,14382.06,0.00,0.00,-68.65,-1781.896,6.291
,Mixed / non conventional,29.00,36.00,25.00,32.00,-320.04,0.52,0.00,245.40,-24.276,6.291
,Mixed / non conventional,29.00,36.00,32.00,39.00,18027.88,0.00,0.00,-14.35,5716.199,6.291
,Mixed / non conventional,29.00,36.00,39.00,46.00,11829.61,0.06,0.00,-49.48,-2275.433,6.290
,Mixed / non conventional,29.00,36.00,46.00,53.00,21240.20,0.06,0.00,-31.60,-510.696,6.290
,Mixed / non conventional,29.00,36.00,53.00,60.00,21184.39,0.05,0.00,-9.58,-164.308,6.290
,Mixed / non conventional,29.00,36.00,60.00,67.00,13008.87,0.04,0.00,6.83,-45.139,6.290
,Mixed / non conventional,29.00,36.00,67.00,2.00,1800.25,0.38,0.00,144.37,-24.450,6.290
,Mixed / non conventional,29.00,36.00,2.00,9.00,3740.37,0.03,0.00,3.96,-19.985,6.290
,Mixed / non conventional,29.00,36.00,9.00,16.00,41291.83,0.05,0.00,-300.12,-577.020,6.290
,Mixed / non conventional,29.00,36.00,16.00,23.00,20726.05,0.06,0.00,-80.34,-1303.334,6.290
,Mixed / non conventional,29.00,36.00,23.00,30.00,9786.84,0.04,0.00,312.56,-7284.730,6.290
,Mixed / non conventional,29.00,36.00,30.00,37.00,9567.27,0.34,0.00,-43.38,2837.135,1.091
,Mixed / non conventional,29.00,36.00,37.00,44.00,7895.78,0.34,0.00,41.45,-1119.333,1.091
,Mixed / non conventional,29.00,36.00,44.00,51.00,14421.47,0.34,0.00,-47.37,-92.929,1.091
,Mixed / non conventional,29.00,36.00,51.00,58.00,28135.70,0.33,0.00,-16.91,-50.014,1.091
,Mixed / non conventional,29.00,36.00,58.00,65.00,13383.91,0.17,0.00,11.25,-57.121,6.285
,Mixed / non conventional,29.00,36.00,65.00,72.00,5377.17,0.58,0.00,-12.38,-11.741,6.285
,Mixed / non conventional,29.00,36.00,72.00,7.00,1986.69,0.06,0.00,-149.54,-30.789,6.285
,Mixed / non conventional,29.00,36.00,7.00,14.00,30797.45,0.03,0.00,80.55,-315.458,6.285
,Mixed / non conventional,29.00,36.00,14.00,21.00,32026.88,0.03,0.00,-63.34,-1189.183,6.285
,Mixed / non conventional,29.00,36.00,21.00,28.00,8606.60,0.04,0.00,-183.44,-7030.537,6.285
,Mixed / non conventional,29.00,36.00,28.00,35.00,8667.58,0.15,0.00,582.65,8991.997,3.816
,Mixed / non conventional,29.00,36.00,35.00,42.00,6649.60,0.11,0.00,-262.48,-3002.719,3.816
,Mixed / non conventional,29.00,36.00,42.00,49.00,12387.48,0.16,0.00,-24.76,-472.574,3.816
,Mixed / non conventional,29.00,36.00,49.00,56.00,30438.46,0.18,0.00,-0.97,-258.046,3.816
,Mixed / non conventional,29.00,36.00,56.00,63.00,15449.01,0.17,0.00,7.59,-50.077,3.816
,Mixed / non conventional,29.00,36.00,63.00,70.00,8801.23,0.07,0.00,-7.22,-22.901,6.279
,Mixed / non conventional,29.00,36.00,70.00,5.00,2057.44,0.10,0.00,-156.74,-29.670,6.279
,Mixed / non conventional,29.00,36.00,5.00,12.00,16608.81,0.04,0.00,89.60,-128.606,6.279
,Mixed / non conventional,29.00,36.00,12.00,19.00,39111.51,0.04,0.00,-70.38,-938.832,6.279
,Mixed / non conventional,29.00,36.00,19.00,26.00,11075.13,0.05,0.00,-73.56,-2126.777,6.279
,Mixed / non conventional,29.00,36.00,26.00,33.00,9348.11,0.05,0.00,359.57,2958.308,6.279
,Mixed / non conventional,29.00,36.00,33.00,40.00,33443.39,0.05,0.00,-96.30,2531.940,6.279
,Mixed / non conventional,29.00,36.00,40.00,47.00,13033.80,0.03,0.00,38.82,-1611.718,6.279
,Mixed / non conventional,29.00,36.00,47.00,54.00,25042.38,0.03,0.00,-57.70,-495.466,6.279
,Mixed / non conventional,29.00,36.00,54.00,61.00,17115.41,0.05,0.00,-8.54,-116.404,6.279
,Mixed / non conventional,29.00,36.00,61.00,68.00,12622.70,0.13,0.00,4.19,-39.603,6.276
,Mixed / non conventional,29.00,36.00,68.00,3.00,1790.41,0.30,0.00,-110.93,-24.621,6.276
,Mixed / non conventional,29.00,36.00,3.00,10.00,7522.58,0.06,0.00,-67.63,-45.170,6.276
