,x,y,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1,elevation
702,468102.857142857,468843.87755102,52.79767424919736,53.77609136800438,55.83396750305485,38.75827116224558,41.82991908043354,42.42474471554023,0
703,468106.32653061196,468843.87755102,49.13104598012946,48.45201503591252,48.98529402519072,33.19077153747183,37.19476227067454,39.285820466598885,0
704,468109.79591836716,468843.87755102,45.39591677970766,44.42915041481382,44.7936637597478,28.61515888025814,33.00632695913576,37.183614177683374,0
705,468113.2653061224,468843.87755102,43.28081772940306,42.607717649800996,43.188872667566315,25.543906052580958,30.400897016508402,35.8313443252475,0
706,468116.7346938776,468843.87755102,44.85145132431714,43.79600152587328,44.26599127674076,24.801869184628522,30.289213282824118,35.9888649603587,0
707,468120.2040816328,468843.87755102,48.207468841304,47.04553001320042,47.57327481897098,26.94029975260212,32.7021227321925,38.85972072525486,0
708,468123.67346938804,468843.87755102,53.01864157319422,51.926326289043104,52.398804547436974,30.799955774896365,36.448776955096925,42.420746534017724,0
709,468127.142857143,468843.87755102,57.72864221923328,56.90416571954374,57.39694232542176,35.20728552965498,40.449003083813444,45.50238947074902,0
710,468130.612244898,468843.87755102,60.100274230687845,60.033589709509144,61.037253461201736,39.35971136519534,44.29507638803656,48.50234322533996,0
711,468134.0816326531,468843.87755102,60.99598307496476,61.67994272555844,63.1561641571587,41.702942215761404,46.39783510300266,49.96269955168406,0
712,468137.55102040793,468843.87755102,59.752644309539406,62.1548116199588,64.54517120719751,43.740106922799,48.09179950432374,50.62680592735644,0
713,468141.0204081632,468843.87755102,57.029389530759445,60.99699494959291,64.55045261256376,44.6773404249934,48.6362647351327,50.43662912486216,0
714,468144.4897959184,468843.87755102,54.04854862969572,58.917496650961404,62.977381926176825,44.441376365543476,48.11729254873874,49.67405039075966,0
715,468147.95918367355,468843.87755102,51.83103165027946,56.59250607465081,60.48514085227574,43.90020355688444,47.08652701725308,48.41907188759734,0
716,468151.4285714288,468843.87755102,47.9815813293866,52.562553262317195,56.2452581396616,42.59837702840764,45.17389514286047,46.2805150002076,0
717,468154.897959184,468843.87755102,43.80554462874462,47.82738865141717,50.93128147128602,39.8441666398751,41.99721959248834,42.635532441028786,0
718,468158.36734693905,468843.87755102,40.57563926044162,43.814515201399715,45.97889437256614,37.19290697956546,38.79039716209378,38.89417130916713,0
719,468161.8367346941,468843.87755102,39.169685560187816,41.5943198568009,43.10558135979964,33.73332296471864,34.800958690815065,34.672568736137066,0
720,468141.71428571444,468844.6938775508,41.504042700648654,43.80120428436774,45.42790481083354,33.84121950681062,35.92310234129522,36.50505743020964,0
721,468121.5918367348,468845.5102040816,46.996406669497375,48.79677487195066,50.21246825413574,35.34266385893805,38.51768600435222,39.78465996499126,0
722,468101.46938775515,468846.32653061236,54.16066734171538,55.36288840111187,56.568102360964325,37.93094214285088,41.941079660139415,44.326823058248436,0
723,468081.34693877556,468847.1428571432,61.9016187803835,62.61188702378788,63.593866425823286,41.06212844203874,45.99242172809392,49.472748270150575,0
724,468061.224489796,468847.959183674,68.74412387517057,68.44593288770325,68.80163987380777,45.29926811747188,51.5050437668959,56.286908113925804,0
725,468064.69387755095,468847.959183674,73.12313478333753,70.99615658804831,69.70145347006516,46.556665234887404,52.9602704778449,57.777568054535436,0
726,468068.1632653059,468847.959183674,76.57589513097898,72.78195964878061,69.94789098649655,47.54807693598446,54.10840727624744,58.8353783378693,0
727,468071.63265306095,468847.959183674,77.16980829592237,73.63306926005788,70.96579553948996,48.325533449462185,55.262683040568184,59.8858930215127,0
728,468075.1020408162,468847.959183674,76.9772865879554,73.71076725250637,71.28999515206186,48.48647086674556,55.962169232561756,60.76279146123876,0
729,468078.5714285715,468847.959183674,76.792344293001,74.24719393504309,72.22598033141612,48.37800738208186,56.14515355348444,60.87443176303039,0
730,468082.0408163266,468847.959183674,77.18327711080488,76.32365401121076,76.08721956413608,49.1033609638204,55.55193190811023,59.988495112017276,0
731,468085.5102040818,468847.959183674,75.57917902132706,76.33195061984058,78.77216253426555,50.37820801206088,55.4592469483953,59.45374505567912,0
732,468088.979591837,468847.959183674,73.08236030804012,74.37804227637038,77.6282879423919,51.97262971808864,55.677189093886184,59.13201828632644,0
733,468092.44897959195,468847.959183674,70.30330909253338,72.62091610337717,76.98274087759,52.74864048009814,55.1434991804155,57.653319688723286,0
734,468095.91836734704,468847.959183674,65.74183253314763,69.78930761549482,76.04172068031828,52.92091568070928,53.9490609988281,55.039074228144315,0
735,468099.387755102,468847.959183674,59.8734054612381,63.68857959949808,69.86984155511159,50.82956258932178,51.823154679540515,52.61593941051569,0
736,468102.857142857,468847.959183674,56.5617752295012,58.07538790187432,62.874750492369245,45.74906855963846,47.263011981188654,48.18340470393194,0
737,468106.32653061196,468847.959183674,56.53532435152,55.0388649173163,58.794023429601076,39.65289688441112,41.89925685704512,43.32540924265998,0
738,468109.79591836716,468847.959183674,53.806250739301106,51.722099871745606,54.96868335304608,35.71403431629022,38.48070544288132,40.74671948356153,0
739,468113.2653061224,468847.959183674,54.29835906255208,49.98773399497528,52.33119011297464,33.669941280139064,36.9658992345255,40.462717817704544,0
740,468116.7346938776,468847.959183674,58.356402331864466,50.764445945170635,53.09061539131494,32.95940394891986,36.97800467596556,41.129831720319984,0
741,468120.20408163284,468847.959183674,62.79022683799697,53.20120193855472,55.363005139870225,34.7058430140482,39.038802118871345,43.51512519628234,0
742,468123.67346938804,468847.959183674,66.79012568792314,56.257856921283405,57.74007305828123,37.46539197787469,41.59865049979523,45.585172436790685,0
743,468127.142857143,468847.959183674,72.33839976118593,60.35183335254442,60.408065246043236,40.7058584501177,44.19051111268806,47.37065548345832,0
744,468130.612244898,468847.959183674,75.46848763855554,63.4293757753293,61.97572645188624,43.363296068927255,46.05398178015508,48.469874344192604,0
745,468134.0816326531,468847.959183674,74.37062979334512,64.91578938207408,62.21018185712846,43.7938852827836,46.28053642821488,48.29476428849332,0
746,468137.55102040793,468847.959183674,70.86684242490576,65.4576771226612,62.92272041298999,44.944415922422664,47.328778726781294,49.10898055687536,0
747,468141.0204081632,468847.959183674,66.15704226280745,64.30390343137306,62.701730074890364,45.57166457176334,47.94249805117264,49.94416323737454,0
748,468144.4897959184,468847.959183674,62.15797102228415,61.67730294175342,61.09045036243182,44.338975764289344,47.21331708396728,49.50390133795218,0
749,468147.95918367367,468847.959183674,57.02235226133968,57.995195897840404,58.50556721632894,42.42928610637456,45.9645789214712,48.3465822239195,0
750,468151.4285714288,468847.959183674,51.775246255461376,53.8932161327941,55.22532362221972,42.11861408965566,45.41058782565056,47.50680364992074,0
751,468154.897959184,468847.959183674,46.63088473448651,49.598600614805505,51.13654686316452,39.71558840908587,42.65271380002254,44.42364210196608,0
752,468158.367346939,468847.959183674,43.401799077035115,46.42869783785272,47.538302657242035,36.94339463381702,39.54302030224412,40.81882771824029,0
753,468138.93877551035,468848.7755102046,46.75111925979886,49.63499284384208,50.786751146821835,37.449475077519615,40.627801477927,42.485474240133776,0
754,468119.5102040818,468849.59183673526,49.49746125756252,52.68366127178369,54.47679192829454,38.3224728600522,42.25342578629836,44.7297469657198,0
755,468100.08163265313,468850.4081632658,52.79990042678946,56.28505079432222,58.99969067950434,39.789539747075544,44.65190110385,47.78010882448498,0
756,468080.6530612246,468851.22448979644,59.9915468905809,63.126801421701565,66.0911419232798,42.68771082453979,48.4782299067895,52.34517450393514,0
757,468061.224489796,468852.040816327,66.9404467361497,69.16980800891926,73.3099521256423,46.51208648685842,53.53691901034706,58.718192471080386,0
758,468064.69387755095,468852.040816327,69.14230738404524,70.1018878087164,74.51392562726544,47.6004885995805,55.126799959231846,60.453244177956456,0
759,468068.16326530604,468852.040816327,72.80122884084926,72.62895926845158,76.13179008033433,49.095022373937944,56.85127135144889,62.001159973239524,0
760,468071.632653061,468852.040816327,76.14966250339167,75.46851432216752,78.20828071539266,51.01954642007996,58.76846713891994,63.56894990683544,0
761,468075.1020408162,468852.040816327,77.39141645499154,76.02894637000705,78.08555689192205,52.217172417807,60.05512358287062,64.9977875454451,0
762,468078.57142857136,468852.040816327,81.0414552915004,79.42192463036572,79.94232526878591,52.95206238432009,60.30669487525432,65.10737329657212,0
763,468082.0408163266,468852.040816327,86.57377766491547,83.98004291823646,82.78394923924742,54.22174854987583,59.925950139653025,64.26450420641262,0
764,468085.5102040818,468852.040816327,91.31861296408782,84.7923988296174,82.67655420717026,54.3765746823929,58.929910605191296,63.14431571384132,0
765,468088.979591837,468852.040816327,92.6376857631562,84.39551071702135,81.76279175826814,53.40031630180808,57.185549384697325,61.453044824786524,0
766,468092.44897959207,468852.040816327,91.09141360634041,82.85611646789442,80.24510954023341,51.71234447965836,54.76857036497462,58.7905255834518,0
767,468095.9183673469,468852.040816327,83.67379531084825,77.63057873994225,76.55326711439213,50.9117094208833,53.0633240614401,56.460840993817044,0
768,468099.387755102,468852.040816327,73.15085268242052,69.88688273966741,70.89261606887705,49.36227625561762,51.47491789229154,54.50266663884726,0
769,468102.857142857,468852.040816327,64.15324685034577,64.87867908352283,67.66922486798276,47.54658446773912,49.69395086854918,52.1383568149879,0
770,468106.32653061196,468852.040816327,58.7318125409354,60.549181692150306,64.36784933041409,45.68789092319206,47.76556176337956,49.76580025508516,0
771,468109.7959183672,468852.040816327,53.33175038280152,56.83425957559408,62.167493876392506,45.967752517932944,47.587834089294304,49.28669535152752,0
772,468113.2653061224,468852.040816327,54.81760666835576,55.881650467284416,61.439820321047385,46.6489015958695,48.03911544165934,50.07172190552792,0
773,468116.7346938776,468852.040816327,58.88207474871253,57.29416908633586,62.558774845623546,45.9953753440584,47.885844759823364,50.41234013943738,0
774,468120.20408163284,468852.040816327,59.146817082821244,58.44691664848348,63.50162416883554,45.81150428053222,48.02464044683898,50.86600252549954,0
775,468123.67346938804,468852.040816327,59.96116793032847,59.94161287838218,64.43108020499888,46.542835295738044,48.96218825479386,51.59509695956102,0
776,468127.142857143,468852.040816327,63.51805205374524,62.05284072676231,65.1111311368463,46.415815007899894,49.310041274019724,51.482284405985226,0
777,468130.612244898,468852.040816327,64.6411166899261,63.75262607355082,65.00278482314062,45.34696341413058,49.042029420749195,50.733061159610955,0
778,468134.08163265296,468852.040816327,64.10035565908754,64.31652744798957,64.15102733055734,44.8414765857496,49.22318253772198,51.124784522441495,0
779,468137.55102040805,468852.040816327,68.21077902629241,66.29593879764204,64.38690404838533,44.47877020896792,49.360439115763604,52.0461159361868,0
780,468141.0204081632,468852.040816327,70.25774632475073,67.12212503400698,64.23343205754038,44.17140902526598,49.266162684466984,52.826000246850796,0
781,468144.4897959184,468852.040816327,67.99030651344017,65.24873281517891,62.75283323392714,43.56096129181102,48.575508152416,52.76285269959571,0
782,468147.95918367355,468852.040816327,64.32117753876761,62.34667653968579,60.64285150524076,42.10406314439626,47.07167870080996,51.578508088091574,0
